extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5
53	Государственное Бюджетное Образовательное Учреждение Высшего Образования «Волгоградская Государственная Консерватория Имени П.А. Серебрякова	ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВОЛГОГРАДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.А. СЕРЕБРЯКОВА»	3444042914.0	RU		False			25.577777648771747	56.94	-0.8498156910496631	0.5154302319205719	-0.2586868936173069	-1.1007300030807123	-0.5283906865251187
54	Санкт-Петербургский Государственный Университет Промышленных Технологий И Дизайна	Санкт-Петербургский государственный университет промышленных технологий и дизайна	7808042283.0	RU	creative	True	25.45	33.0	25.45	56.83	-0.2310926306124171	0.0604176390583719	-0.5624247278765229	-0.2435952089819548	-0.4018893205728706
55	Сибирский Федеральный Университет (Сфу)	Сибирский федеральный университет (СФУ)	2463011853.0	RU	classical	True	25.42	34.0	25.42	56.8	0.6512005559264843	-0.7807797135587417	-1.28258323192533	-0.7382402572057635	-0.3854040429405417
56	Нижегородский Государственный Лингвистический Университет Им. Н.А. Добролюбова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НИЖЕГОРОДСКИЙ ГОСУДАРСТВЕННЫЙ ЛИНГВИСТИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Н.А. ДОБРОЛЮБОВА"""	5260047352.0	RU		False			25.39662684220161	56.78	-0.04416840888748	-0.1813028755701038	-0.4458970511995176	-0.6407763388560237	-0.2606221559098575
57	Государственный Институт Русского Языка Имени А.С. Пушкина	Государственный институт русского языка имени А.С. Пушкина	7728051927.0	RU	pedagogical	True	25.17	35.0	25.17	56.58	-0.1154115346511865	1.4222946004867054	0.5643541495584783	1.9318705566804453	0.8330620637720333
58	Санкт-Петербургский Государственный Морской Технический Университет	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ МОРСКОЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ»	7812043522.0	RU		False			24.9491052497988	56.39	0.3885164069238656	-0.7625899032046314	-0.8675228325672298	1.508224449733883	0.1197151656321823
59	Первый Санкт-Петербургский Государственный Медицинский Университет	Первый Санкт-Петербургский государственный медицинский университет	7813047463.0	RU	medical	True	24.94	36.0	24.94	56.38	-0.5057168894837332	0.1565209615004295	2.098842081275287	-0.0819799006211931	2.5264459721915355
60	Автономная Некоммерческая Организация Высшего Образования «Российский Университет Адвокатуры И Нотариата Имени Г.Б. Мирзоева	АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА»	7709255964.0	RU		False			24.812165348728318	56.26	-0.7105167706963728	0.2013322552463415	-1.7431222245151663	0.2964282591777411	0.8975988417432426
61	Томский Государственный Университет Систем Управления И Радиоэлектроники	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТОМСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ СИСТЕМ УПРАВЛЕНИЯ И РАДИОЭЛЕКТРОНИКИ"""	7021000043.0	RU		False			24.744937552249844	56.2	0.983306540392	-1.1226272960129455	0.0136558889207398	-0.1590392538079787	-0.2715399781687957
62	Санкт-Петербургская Государственная Консерватория Имени Н.А.Римского-Корсакова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САНКТ-ПЕТЕРБУРГСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ Н.А.РИМСКОГО-КОРСАКОВА»	7812036476.0	RU		False			24.74015843538853	56.2	-0.5740218720820781	0.122694261009113	1.353508974090217	-0.7064230051790493	0.1178739253003565
63	Санкт-Петербургский Государственный Университет Телекоммуникаций Им. Проф. М.А. Бонч-Бруевича	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ ИМ. ПРОФ. М.А. БОНЧ-БРУЕВИЧА"""	7808004760.0	RU		False			24.57566617945357	56.05	0.0621219830927756	-0.351989106257553	-0.8615424505652237	-0.7297880934302986	-0.2230769056246014
64	Национальный Исследовательский Нижегородский Государственный Университет	Национальный исследовательский Нижегородский государственный университет	5262004442.0	RU	classical	True	24.53	37.0	24.53	56.01	0.5030268244761379	-0.3958797954512386	-1.0417428311753412	0.1309656080923085	0.179674306432801
65	Спбгэту «Лэти	СПбГЭТУ «ЛЭТИ»	7813045402.0	RU	technical	True	24.5	38.0	24.5	55.99	0.3563963624228671	-0.1472776474112933	-1.351563516995303	0.8742886223319997	-0.0668814179111534
66	Донецкий Государственный Педагогический Университет Им. В. Шаталова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДОНЕЦКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. В. ШАТАЛОВА"""	9312007840.0	RU		False			24.45478154020972	55.95	-1.0792524485997186	0.8034069221828696	-1.4809005191423237	-3.6540360041559454	-0.5004648897934345
67	Московский Городской Педагогический Университет	Московский городской педагогический университет	7717043346.0	RU	pedagogical	True	24.43	39.0	24.43	55.93	-0.2575923759042923	0.5235676853588243	-0.5675243429202343	-0.570087715297639	-0.3199327979439488
68	Российский Университет Медицины	Российский университет медицины	7707082145.0	RU	medical	True	24.14	40.0	24.14	55.67	-0.7217897766024775	0.2627354750123045	1.4522816233970546	0.1873148480549376	2.0858089755312244
69	Санкт-Петербургский Государственный Институт Культуры	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ»	7825011824.0	RU		False			24.121231101225604	55.65	-0.7756923921404575	0.2544385529875672	-0.3116708727251113	-0.8882275499881702	-0.1631554218131562
70	Дипломатическая Академия Мид Рф	Дипломатическая академия МИД РФ	7704018590.0	RU	diplomatic	True	24.04	41.0	24.04	55.58	-0.8666634418261489	0.4132816749383802	0.5366170688670042	0.1638297340961019	0.6307503652438452
71	Российский Химико‑Технологический Университет Имени Д. И. Менделеева	Российский химико‑технологический университет имени Д. И. Менделеева	7707072637.0	RU	technical	True	23.84	42.0	23.84	55.4	-0.0044531006477417	-0.6494514073084124	-1.003688873316614	-0.9075215184639758	0.8314765345425235
72	Дальневосточный Государственный Институт Искусств	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ»	2536103964.0	RU		False			23.778848956020536	55.35	-0.6866999204498272	0.08001424678023	2.26452294917379	-0.7780992954719623	0.2203794411104602
73	Российский Государственный Институт Сценических Искусств	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ СЦЕНИЧЕСКИХ ИСКУССТВ»	7803006161.0	RU		False			23.64230793377405	55.23	-0.4291623836822738	-0.1375048268025507	0.9457387561762371	-0.4292039973976401	-0.6233685358120777
