extended_rank	name_short	name	inn	country	profile	in_training	actual_score	actual_rank	predicted_score	score_normalized	F1	F2	F3	F4	F5	F1_normalized	F2_normalized	F3_normalized	F4_normalized	F5_normalized	wos_pubs_per100_2021	rnd_revenue_share	grants_per_100_fac	master_share	foreign_faculty_share	ege_budget	ege_paid	ege_min	vsosh_per100	olymp_per100	foreign_students_noncis_share	foreign_students_share_total	revenue_per_faculty	modern_equipment_share	postgrad_per_100	doct_share
16	Уральский Федеральный Университет Имени Первого Президента России Б. Н. Ельцина	Уральский федеральный университет имени первого Президента России Б. Н. Ельцина	6660003190.0	RU	classical	True	41.38	16.0	41.38	70.94	1.476394222232017	-0.2449980879388275	-0.3145017746502745	0.1609541239442126	-0.4711375255915526	9.33	8.12	3.83	7.11	4.47	4.4	22.35	1.89	18.8	1.43	74.82	66.43	50.66	0.01	0.28	1.61	7.78	7.9	32.58	1.59	13.07
17	Нижегородская Государственная Консерватория Им. М.И. Глинки	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НИЖЕГОРОДСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМ. М.И. ГЛИНКИ"""	5260038527.0	RU		False			41.3740831629262	70.94	-0.3557197044418675	2.010106643712624	1.5564893709154763	-0.611037521307189	0.0277211771686839	4.11	10.0	7.48	6.12	5.59	106.83	11.74	7.45	27.67	1.47	96.64	91.41	94.42	0.0	0.0	17.38	17.54	886.01	59.19	2.7	5.16
18	Университет Иннополис	Университет Иннополис	1655258235.0	RU	classical	True	40.62	17.0	40.62	70.27	1.7166810910879469	1.890724909634956	2.900383602264617	1.7225649954732796	-0.3469275650561875	10.0	10.0	10.0	9.11	4.75	4.58	60.41	0.0	17.8	3.06	92.46	79.4	62.3	0.16	1.29	2.53	19.41	9.95	100.0	1.82	9.61
19	Российский Университет Дружбы Народов Имени Патриса Лумумбы	Российский университет дружбы народов имени Патриса Лумумбы	7728073720.0	RU	classical	True	39.1	18.0	39.1	68.92	1.473031560686986	0.4649970112486358	0.4002890366634239	2.0965176817008504	0.4673590324743283	9.32	8.88	5.23	9.58	6.57	4.63	3.54	1.57	16.38	2.26	84.64	66.2	54.37	0.25	0.3	3.04	27.08	8.64	62.58	3.16	20.31
20	Центральный Университет	Центральный университет	7743418023.0	RU	classical	True	37.37	19.0	37.37	67.39	0.5924099487707939	-0.043693208718649	-0.6797700290979161	0.2148927531115252	-0.8102264163832121	6.81	8.34	3.12	7.18	3.72	4.17	18.34	1.88	16.9	0.77	78.44	68.02	51.83	0.02	0.15	1.61	9.57	7.65	38.4	1.65	16.28
21	Первый Московский Государственный Медицинский Университет Имени И. М. Сеченова	Первый Московский государственный медицинский университет имени И. М. Сеченова	7704047505.0	RU	medical	True	36.71	20.0	36.71	66.8	1.0639789748717448	0.6732495183904698	1.7588523724686147	1.2582879402689329	1.8244627093133383	8.16	9.1	7.87	8.51	9.59	4.92	9.4	1.5	3.68	1.46	88.07	70.93	47.71	0.17	0.72	2.97	20.76	9.13	51.14	3.11	22.32
22	Белорусский Государственный Медицинский Университет	Белорусский государственный медицинский университет	1	BY	medical	False			35.79	65.99	-0.109	1.099	-0.148	0.048	-0.392	4.82	9.56	4.16	6.96	4.65																
23	Казанский (Приволжский) Федеральный Университет (Кфу)	Казанский (Приволжский) федеральный университет (КФУ)	1655018018.0	RU	classical	True	35.64	21.0	35.64	65.86	0.997193817479624	-0.09585091777513	-0.5775425047991264	1.260680156674482	-0.1330136321900625	7.97	8.28	3.32	8.52	5.23	4.18	19.85	1.87	14.83	1.23	78.92	69.54	51.71	0.03	0.02	2.46	19.0	7.66	35.21	1.86	13.12
24	Национальный Исследовательский Томский Государственный Университет (Тгу)	Национальный исследовательский Томский государственный университет (ТГУ)	7018012970.0	RU	classical	True	34.92	22.0	34.92	65.22	1.6906772421203249	0.2208412247372139	-1.4376650856919615	1.1605968120727082	0.117189333851131	9.94	8.62	1.65	8.39	5.79	5.24	17.64	2.63	23.43	1.41	78.44	65.37	52.65	0.0	0.63	1.82	22.41	7.18	39.9	2.14	19.83
25	Санкт-Петербургский Горный Университет Императрицы Екатерины Ii	Санкт-Петербургский горный университет императрицы Екатерины II	7801021076.0	RU	technical	True	32.94	23.0	32.94	63.46	0.8885569481710581	-0.4964926752314541	0.6360677751337765	0.4395945556015863	-0.2141444985954657	7.66	7.86	5.69	7.47	5.05	3.97	33.43	0.0	9.86	2.42	76.26	62.71	54.0	0.02	0.23	2.3	14.45	8.34	42.47	1.47	13.42
26	Московская Государственная Академия Хореографии	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ХОРЕОГРАФИИ»	7704145887.0	RU		False			32.71280528773751	63.26	-0.7632896853267163	1.1634940556090074	-0.2548766890078674	0.758133551047607	0.3359879257397168	2.95	9.63	3.95	7.87	6.27	218.67	0.0	0.0	34.38	0.0	82.56	85.0	66.5	0.0	0.0	3.76	7.19	2575.79	86.57	17.77	1.33
27	"Государственное Бюджетное Образовательное Учреждение Высшего Образования Города Москвы ""Московский Государственный Институт Музыки Имени А.Г. Шнитке"	"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ МУЗЫКИ ИМЕНИ А.Г. ШНИТКЕ"""	7734099035.0	RU		False			32.48848013034578	63.06	-0.8113892759349399	1.3105277390212915	0.2252110185073945	-0.8901971078605109	0.216685202914177	2.82	9.79	4.89	5.76	6.01	112.57	0.0	0.0	25.81	1.43	84.01	88.5	82.17	0.0	0.0	9.88	10.78	995.5	35.26	6.19	15.38
28	Томский Политехнический Университет (Тпу)	Томский политехнический университет (ТПУ)	7018007264.0	RU	technical	True	32.48	24.0	32.48	63.06	1.5497910078695405	-0.5291166584122354	-0.3208534339347417	1.3956096546398873	0.0867280142294361	9.54	7.82	3.82	8.69	5.72	4.73	39.04	1.53	30.83	1.34	71.94	60.6	45.56	0.0	0.31	2.29	21.4	7.82	32.81	2.17	13.97
29	Московский Государственный Юридический Университет Им. О.Е. Кутафина	Московский государственный юридический университет им. О.Е. Кутафина	7703013574.0	RU	legal	True	32.44	25.0	32.44	63.02	-1.0443976638116448	1.3030461548950178	0.4604401290770368	-0.8020880437992118	0.19926629839557	2.15	9.78	5.34	5.88	5.97	2.6	5.17	0.0	11.86	0.25	94.93	87.2	60.0	0.01	0.37	1.06	5.59	8.28	68.1	1.75	21.32
30	Дальневосточный Федеральный Университет	Дальневосточный федеральный университет	2536014538.0	RU	classical	True	30.9	26.0	30.9	61.66	0.4418795387163838	-0.5618557761500503	0.061854528291247	0.7255093853825193	-0.2741449075738111	6.39	7.79	4.57	7.83	4.91	3.53	6.98	1.34	19.08	0.58	74.98	63.2	47.66	0.0	0.17	2.52	12.41	8.04	23.62	1.42	8.4
31	Мирэа — Российский Технологический Университет	МИРЭА — Российский технологический университет	7729040491.0	RU	technical	True	30.36	27.0	30.36	61.18	-0.1479423048112023	-0.4139233856728174	-0.414124386973257	-0.9069223436664432	-0.1198975260824712	4.71	7.94	3.64	5.74	5.26	3.31	18.39	1.06	11.37	0.1	80.95	66.7	44.49	0.02	0.14	0.78	4.33	7.82	78.9	1.13	21.95
32	Московская Государственная Консерватория Имени П.И. Чайковского	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ КОНСЕРВАТОРИЯ ИМЕНИ П.И. ЧАЙКОВСКОГО"""	7703107663.0	RU		False			30.00892581132944	60.87	-0.7696480854504936	0.828974317542805	1.0366199643100922	0.49300706809034	0.5445931375008668	2.94	9.27	6.47	7.53	6.74	82.67	8.56	0.0	12.08	0.0	87.75	80.84	66.96	0.0	0.0	19.44	24.45	2065.31	0.0	0.94	10.78
33	Московский Авиационный Институт (Маи)	Московский авиационный институт (МАИ)	7712038455.0	RU	technical	True	29.52	28.0	29.52	60.43	0.0125392556262428	-0.2350895563621758	0.125720637507478	0.0009827959957749	0.6901285581373579	5.16	8.14	4.69	6.9	7.06	3.27	23.3	0.0	16.2	0.0	77.47	68.24	66.4	0.01	0.09	2.07	9.52	8.05	23.25	1.47	17.39
34	Беларусский Государственный Университет	Беларусский государственный университет	2	BY	classical	False			28.78	59.78	0.088	0.071	-0.011	-0.01	-0.2	5.38	8.46	4.43	6.89	5.08																
35	Национальный Исследовательский Университет «Мэи	Национальный исследовательский университет «МЭИ»	7722019652.0	RU	technical	True	28.56	29.0	28.56	59.58	0.7949889093094679	-0.7761242394500396	-0.4386363516155649	-0.0264038871883457	-0.1424689611628387	7.39	7.56	3.59	6.87	5.21	3.68	15.05	2.08	16.69	1.65	71.41	66.26	46.21	0.01	0.06	1.42	11.54	7.91	27.16	1.75	19.88
36	Московский Государственный Лингвистический Университет	Московский государственный лингвистический университет	7704024466.0	RU	pedagogical	True	28.41	30.0	28.41	59.45	-0.4786724115625686	0.952991859230074	-0.8731259581241975	0.679795466514367	-0.7835876975744828	3.76	9.4	2.75	7.77	3.78	2.32	2.59	0.0	12.83	1.4	88.77	74.54	61.86	0.11	0.69	1.8	11.48	6.98	24.19	1.46	12.63
37	Школа-Студия (Институт) Имени Вл. И.Немировича-Данченко При Московском Художественном Академическом Театре Имени А.П.Чехова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ШКОЛА-СТУДИЯ (ИНСТИТУТ) ИМЕНИ ВЛ. И.НЕМИРОВИЧА-ДАНЧЕНКО ПРИ МОСКОВСКОМ ХУДОЖЕСТВЕННОМ АКАДЕМИЧЕСКОМ ТЕАТРЕ ИМЕНИ А.П.ЧЕХОВА"""	7710070005.0	RU		False			28.32794374668265	59.38	-0.5778590855979279	0.5131543048804449	-1.1082726600321615	0.6020379512188748	-0.8687631572721698	3.48	8.93	2.29	7.67	3.59	90.62	14.49	0.0	3.25	1.04	82.84	77.94	63.62	0.0	0.0	2.03	3.25	2194.88	54.36	0.0	6.97
38	Православный Свято-Тихоновский Гуманитарный Университет	"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПРАВОСЛАВНЫЙ СВЯТО-ТИХОНОВСКИЙ ГУМАНИТАРНЫЙ УНИВЕРСИТЕТ"""	7705481169.0	RU		False			28.313356153449945	59.37	-0.2538995852763235	0.2083961467556087	-1.2083745649150457	1.1150936762310903	-0.4088631397826574	4.4	8.61	2.09	8.33	4.61	158.38	9.58	1.02	20.99	2.52	79.94	70.13	54.62	0.0	0.17	0.37	2.8	2804.15	31.93	0.47	11.56
39	Российский Национальный Исследовательский Медицинский Университет Имени Н.И. Пирогова	Российский национальный исследовательский медицинский университет имени Н.И. Пирогова	7728095113.0	RU	medical	True	28.27	31.0	28.27	59.33	-0.0275416536458709	0.6737419771744174	1.5441090621889566	0.0330727505997431	2.310277313698492	5.05	9.11	7.46	6.95	10.0	3.74	10.0	0.8	1.11	0.18	88.18	71.92	56.52	0.06	0.43	2.24	12.03	8.5	43.38	3.23	24.64
40	Академия Хорового Искусства Имени В.С. Попова	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ ХОРОВОГО ИСКУССТВА ИМЕНИ В.С. ПОПОВА"""	7712072689.0	RU		False			27.90937651065098	59.01	-1.0858174689009414	1.146063510783352	-0.8391066626992183	-2.8695710011454536	0.6753103748133423	2.04	9.61	2.81	3.23	7.03	68.42	10.69	0.0	22.88	0.0	87.58	77.0	85.5	0.0	0.0	0.0	3.25	139.97	0.0	27.1	4.08
41	Академия Русского Балета Имени А.Я. Вагановой	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ РУССКОГО БАЛЕТА ИМЕНИ А.Я. ВАГАНОВОЙ"""	7830002092.0	RU		False			27.83725689023297	58.94	-0.5214665100389464	0.3607634946898103	0.0741186677124906	0.7430177471633754	0.3846396624783439	3.64	8.77	4.59	7.85	6.38	211.66	0.0	0.0	34.5	1.3	76.22	67.88	73.05	0.0	0.0	6.28	10.62	2890.81	53.71	5.12	16.46
42	Алтайский Государственный Гуманитарно-Педагогический Университет Имени В.М. Шукшина	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АЛТАЙСКИЙ ГОСУДАРСТВЕННЫЙ ГУМАНИТАРНО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ В.М. ШУКШИНА"""	2226020370.0	RU		False			27.672699999999995	58.8	5.91525585768048e-17	-3.3368577677990003e-16	1.723264213951767e-16	3.554492563742652e-17	3.3414448011560055e-17	5.13	8.39	4.45	6.9	5.52																
43	Академия Акварели И Изящных Искусств Сергея Андрияки	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ АКВАРЕЛИ И ИЗЯЩНЫХ ИСКУССТВ СЕРГЕЯ АНДРИЯКИ"""	7710445889.0	RU		False			27.00530160495797	58.21	-0.5938208103527093	0.2392763684819672	-1.8249575723388536	2.148270083975097	-0.9384541606207386	3.44	8.64	1.0	9.65	3.43	72.61	0.88	0.0	0.0	0.0	78.0	78.6	45.0	0.0	0.0	0.0	1.03	6196.89	20.98	0.0	1.49
44	Московский Государственный Психолого-Педагогический Университет	"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ПСИХОЛОГО-ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"""	7702181537.0	RU		False			26.826361872971177	58.05	0.0491323096775403	0.0101424108665145	-1.0031430462226885	-1.4880938532931205	-0.4683457113052783	5.27	8.4	2.49	5.0	4.48	493.22	9.4	1.42	32.07	0.46	77.2	67.45	59.27	0.0	0.0	0.8	2.85	899.46	50.33	0.03	10.79
45	Российская Академия Музыки Имени Гнесиных	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКАЯ АКАДЕМИЯ МУЗЫКИ ИМЕНИ ГНЕСИНЫХ»	7704018247.0	RU		False			26.70420048054589	57.94	-0.689053581998092	0.3694471825711162	1.730299123682269	0.1796422359928579	0.4642316638579781	3.17	8.78	7.82	7.13	6.56	35.34	1.09	0.0	31.77	0.0	80.78	76.01	68.67	0.0	0.0	17.21	22.35	2149.07	62.72	0.86	4.72
46	Донецкая Академия Управления И Государственной Службы	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ДОНЕЦКАЯ АКАДЕМИЯ УПРАВЛЕНИЯ И ГОСУДАРСТВЕННОЙ СЛУЖБЫ»	9309021980.0	RU		False			26.55093634663177	57.8	-0.9508983359501524	0.8894312048835269	-1.0935620235306052	-2.873928666001748	-0.7048686351606855	2.42	9.34	2.32	3.23	3.95	363.68	13.01	0.0	27.36	0.0	100.0	61.33	54.75	0.07	0.0	2.74	2.65	305.08	99.05	0.03	5.65
47	Федеральное Государственное Бюджетное Учреждение Высшего Образования И Науки «Санкт-Петербургский Национальный Исследовательский Академический Университет Имени Ж.И. Алферова Российской Академии Наук	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ И НАУКИ «САНКТ-ПЕТЕРБУРГСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ АКАДЕМИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Ж.И. АЛФЕРОВА РОССИЙСКОЙ АКАДЕМИИ НАУК»	7804161723.0	RU		False			26.322226576711643	57.6	0.6897562953965245	-0.7458277905846877	-1.3422563963758978	0.5603731642934913	1.0413333027990834	7.09	7.59	1.83	7.62	7.85	89.68	47.65	186.58	36.9	0.0	84.24	0.0	71.8	0.0	0.8	0.0	0.4	1459.12	16.52	6.61	19.45
48	Всероссийский Государственный Университет Кинематографии Имени С.А.Герасимова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «ВСЕРОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ КИНЕМАТОГРАФИИ ИМЕНИ С.А.ГЕРАСИМОВА»	7717032440.0	RU		False			26.2263766028212	57.52	-0.69782278272868	0.3946683658972466	0.0562963085929809	-0.3105649450216164	0.1233525812462445	3.14	8.81	4.56	6.51	5.8	125.12	1.0	0.0	0.0	0.0	79.41	72.12	63.25	0.0	0.0	0.0	3.11	1649.5	25.23	0.0	2.4
49	Всероссийская Академия Внешней Торговли Министерства Экономического Развития Рф	Всероссийская академия внешней торговли Министерства экономического развития РФ	7729071387.0	RU	econ_mgmt	True	26.08	32.0	26.08	57.39	-0.5238038825456927	0.8310431309221933	0.3568622454748776	-1.466932351360588	0.0042269871109295	3.64	9.27	5.14	5.03	5.53	2.05	23.59	0.0	16.79	0.38	87.71	74.79	57.32	0.0	0.44	0.34	2.51	7.87	72.11	2.58	7.36
50	Российский Государственный Университет Правосудия Имени В.М. Лебедева	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПРАВОСУДИЯ ИМЕНИ В.М. ЛЕБЕДЕВА»	7710324108.0	RU		False			26.04066538560878	57.35	-0.6829558620505627	0.3359808640324644	-1.6290214688913165	0.2095530112083659	1.1076468883866528	3.18	8.74	1.27	7.17	7.99	2306.54	7.08	1.25	9.21	0.0	84.8	64.09	50.92	0.0	0.0	0.0	0.34	3100.76	39.13	0.0	14.48
51	Российский Государственный Художественно-Промышленный Университет Им. С.Г. Строганова	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ «РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ХУДОЖЕСТВЕННО-ПРОМЫШЛЕННЫЙ УНИВЕРСИТЕТ ИМ. С.Г. СТРОГАНОВА»	7712038737.0	RU		False			26.014619039075708	57.33	-0.7572274110751037	0.4356934335147736	-0.5947584871735286	-0.3288917895709615	-0.5654996928662398	2.97	8.85	3.29	6.48	4.26	42.86	0.06	0.0	16.82	0.0	82.13	72.87	56.57	0.0	0.0	2.08	3.57	1973.9	29.94	0.22	10.74
52	Белорусский Государственный Университет Информатики И Радиоэлектроники	Белорусский государственный университет информатики и радиоэлектроники	3	BY	technical	False			25.81	57.15	0.04	-0.262	0.019	-0.003	-0.148	5.24	8.11	4.48	6.9	5.19																
